Name,Abbreviation,Numeric,Numeric-2,processed_at,record_id
January,Jan.,1,1,2026-03-24 12:37:56,1
Feburary,Feb.,2,2,2026-03-24 12:37:56,2
March,Mar.,3,3,2026-03-24 12:37:56,3
April,Apr.,4,4,2026-03-24 12:37:56,4
May,May,5,5,2026-03-24 12:37:56,5
June,June,6,6,2026-03-24 12:37:56,6
July,July,7,7,2026-03-24 12:37:56,7
August,Aug.,8,8,2026-03-24 12:37:56,8
September,Sept.,9,9,2026-03-24 12:37:56,9
October,Oct.,10,10,2026-03-24 12:37:56,10
November,Nov.,11,11,2026-03-24 12:37:56,11
December,Dec.,12,12,2026-03-24 12:37:56,12
